        Type         |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 NVAR entry          | Full                  | 0001F5F3 | 0000002A | 3B8C6F8A | --- 65BF848D-9E9F-46A8-A938-E92F083A3A3E | HddPluggingVar
 NVAR entry          | Full                  | 0001F61D | 0000001F | 676A2DE1 | --- CAE7CC71-2626-4AA5-ABE1-E7914D3CFFB9 | NvmePluggingVar
 NVAR entry          | Full                  | 0001F63C | 0000002C | 0FBCE020 | --- 5432122D-D034-49D2-A6DE-65A829EB4C74 | MeSetupStorage
 NVAR entry          | Full                  | 0001F668 | 0000002B | B09E3000 | --- 64192DCA-D034-49D2-A6DE-65A829EB4C74 | IccAdvancedSetupDataVar
 NVAR entry          | Full                  | 0001F693 | 00000033 | 53394C5A | --- 414976B9-1E77-4062-A7C8-E1C810B0A2A2 | AcerUfsDeviceConfigurationSetupVar
 NVAR entry          | Full                  | 0001F6C6 | 00000040 | AEACED75 | --- A4A880FF-E3F3-4405-8723-BB34A1D2BE7A | AcerSataDeviceConfigurationSetupVar
 NVAR entry          | Full                  | 0001F706 | 00000038 | E885C632 | --- 0F06C78C-6D58-46CA-AD81-F81787915EAD | AcerNvmeDeviceConfigurationSetupVar
 NVAR entry          | Full                  | 0001F73E | 0000002B | D545554E | --- 01825247-C996-4D1C-88A2-92B024CD9BA4 | SystemHealthIndicatorSetupVar
 NVAR entry          | Full                  | 0001F769 | 0000006B | 983EE744 | --- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | PlatformLastLangCodes
 NVAR entry          | Full                  | 0001F7D4 | 00000017 | 21A5E29C | --- 7D3DCEEE-CBCE-4EA7-8709-6E552F1EDBDE | SIDSUPPORT
 NVAR entry          | Full                  | 0001F7EB | 000000AC | 5C0E98AA | --- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | AcerBootOrderDataDefault
 NVAR entry          | Full                  | 0001F897 | 0000001E | BC955367 | --- 45CF35F6-0D6E-4D04-856A-0370A5B16F53 | DefaultBootOrder
 NVAR entry          | Full                  | 0001F8B5 | 0000003B | 89E1740F | --- 999BD818-7DF7-4A9A-A502-9B75033E6A0F | EsrtFmp
 NVAR entry          | Full                  | 0001F8F0 | 00000028 | 72821013 | --- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | CheckPopupPasswordErrorFlag
 NVAR entry          | Full                  | 0001F918 | 00000021 | 81D71584 | --- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | FactoryModeSkipError
 NVAR entry          | Full                  | 0001F939 | 0000002F | 104931B2 | --- C5912ED9-83C2-4BFF-9936-231FEB85F3E8 | ConstructDefaults4FirstBoot
 NVAR entry          | Full                  | 0001F968 | 0000002E | 7B3B6D5D | --- 4B4D31BE-88C6-446A-A4A9-4AD0F612B32E | EvaluateDefaults4FirstBoot
 NVAR entry          | Full                  | 0001F996 | 00000023 | 9EA65211 | --- 01368881-C4AD-4B1D-B631-D57A8EC8DB6B | AcerBootCurrentOption
 NVAR entry          | Full                  | 0001F9B9 | 0000007F | D623E39B | --- 01368881-C4AD-4B1D-B631-D57A8EC8DB6B | AcerBootCurrentDp
 NVAR entry          | Full                  | 0001FA38 | 0000002B | 17D3898C | --- E3CACF62-3062-4E1D-978E-46807AB9747D | PlatformConfigurationChange
